title,description,class
"Trojans overcome mistakes, weather to rally past Beavers","CORVALLIS, Ore. - Thirty-seven years ago, a top-ranked USC team came to this Pacific 10 Conference outpost and could not overcome a muddy field in a stunning loss to Oregon State.",Sports
Shanghai to Honor Its Jewish Legacy," SHANGHAI -- Saul Marmer, a retired Cincinnati shoe retailer, peeled away from his tour group the other day to reflect on a special moment in Shanghai's long and eventful history. As summer rain bathed the city, and its residents raced about in their relentless drive to accumulate wealth, Marmer, 79, ducked into the Ohel Moishe Synagogue.",World
"No. 16 Minnesota 60, Wis-Green Bay 51","GREEN BAY, Wis. - Janel McCarville had her usual double-double down low, but it was two big outside shots from the guards that made the difference for No.",Sports
3 Former KMart Execs Charged with Fraud, WASHINGTON (Reuters) - Three former Kmart executives and  representatives of several major vendors were charged on  Thursday with fraudulently accounting for \$24 million of profit  before the retailer filed for bankruptcy in 2002.,Business
US Dream Team: a nightmare,"Someone forgot to inform the US Olympic basketball team that it was sent to Athens to try to win a gold medal, not to embarrass its country.",Sports
Hendrick team working through pain,"For those involved in NASCAR, racing is more than a sport. It is a way of life. It is a way of conducting one #39;s self throughout life, and eventually getting through the toughest part of life: dealing with death.",Sports
Australian Open Exec Says Clijsters Out (AP),"AP - Kim Clijsters' left wrist injury will keep her out of the Australian Open, tournament chief executive Paul McNamee said Thursday.",Sports
Spanish Bank BBVA to Buy Laredo National (AP),"AP - BBVA, Spain's second-largest bank, said Tuesday it has agreed to buy Texas-based Laredo National Bancshares for  #36;850 million in cash as part of a strategy to gain a greater share of the U.S. Hispanic market.",World
Phil Garner likes the Astros #39; chances of re-signing Carlos Beltran &lt;b&gt;...&lt;/b&gt;,"ANAHEIM -- If the Houston Astros had their druthers, Carlos Beltran and Roger Clemens would already be signed for next year, Wade Miller and Andy Pettitte would report to Spring Training in the best physical conditions of their careers and Lance Berkman ",Sports
Why Can't Wi-Fi Be More Like Star Trek? (Ziff Davis),"Ziff Davis - Opinion: This year, all of the big mobile operators are starkly aware that they're in a race. But ""Star Trek"" taught us never to make the mistake of assuming that people operate rationally.",Sci/Tech
Alamosa to Buy AirGate for \$392 Million,"Alamosa Holdings Inc. (APCS.O: Quote, Profile, Research) will acquire AirGate PCS Inc. (PCSA.O: Quote, Profile, Research) for \$392 million in stock creating the largest Sprint Corp.",Business
US clocks a third quarter growth of 3.9,"The US economy grew by 3.9 per cent in the third quarter of this year, a US government press release stated. On another quarter of robust growth, the US treasury secretary, John Snow, said, Americas Gross ",Business
"Tokyo Stocks Weak, Dollar Hurts Exporters"," TOKYO (Reuters) - Japan's Nikkei average fell 0.69 percent  by mid-afternoon on Thursday as a fall in the dollar further  weakened investor confidence over company earnings, prompting  selling on exporters such as Canon Inc.",Business
Eli Lilly Bares All,"In the spirit of full disclosure, the Big Pharma company publishes clinical trial results online.",Business
"Militants attack BSF camp, two dead","NEW DELHI, NOVEMBER 5: One militant and a jawan were killed and three security personnel injured when ultras made an abortive bid to storm a BSF camp at Sopore in Baramullah district of Jammu and Kashmir in the wee hours on Saturday.",World
North Korea's No. 2 Leader Visits China," BEIJING (Reuters) - North Korea's second-most senior leader  toured a shiny new science park in Beijing Monday, a first stop  on visit aimed at finding ways to help the North's moribund  economy as much as jump-starting stalled nuclear talks.",World
Lamy to reassure ASEAN on EU expansion,"BRUSSELS (DPA): European Union trade chief Pascal Lamy heads off to Jakarta for a meeting with economic ministers of the Association of Southeast Asian Nations (ASEAN) on Saturday, EU officials said on Thursday.",Business
Woman Auctions Father's Ghost on eBay (AP),AP - A woman's effort to assuage her 6-year-old son's fears of his grandfather's ghost by selling it on eBay has drawn more than 34 bids with a top offer of  #36;78.,Sci/Tech
Lukas Pulls Azeri Surprise,"D Wayne Lukas, the most successful trainer of all time at the Breeders Cup, caused a sensation today when he revealed 2002 Distaff winner and Horse of the Year Azeri will tackle Saturdays Breeders Cup Classic.",Sports
"Henry happy as Gunners, Blues draw",LONDON (AFP) - Arsenal striker Thierry Henry was happy enough with a 2-2 draw against Chelsea here at Highbury yesterday despite twice putting the champions ahead only to see the Premiership leaders draw level each time.,Sports
McClaren pays for lack of ambition,WITH a minimum of drama and an economy of effort - qualities that are seldom applicable to the club -ewcastle United last night qualified for the knockout phase of the Uefa Cup.,Sports
Winner Sun thankful to rains for a cool morning,"New Delhi, Oct. 3 (PTI): Overnight rains came as a blessing in disguise for Chinese runner Yingjie Sun, who crushed Irish star Sonia O #39;Sullivan #39;s dream of completing a rare triple of world titles by winning ",Sports
Dollar perks up from Friday's jobs slump (AFP),AFP - The dollar drifted higher against the euro in a modest recovery after Friday's decline following weak US job creation numbers for September.,World
"China will target 800 missiles at us, says Taiwan","TAIPEI - China is likely to have 800 ballistic missiles targeting Taiwan before the end of 2006, Taipei #39;s defence minister said yesterday as he pressed the case for an US\$18-billion (\$30.",World
Israelis rejoice in golden Olympic moment,"GLYFADA, Greece - When the first notes of the national anthem of Israel pierced the night air, years of yearning came pouring out of Israelis at the Olympic Sailing Centre.",Sports
UK minister visits Arafat grave,"UK Foreign Secretary Jack Straw has laid a wreath at the grave of former Palestinian Leader Yasser Arafat. Mr Straw is meeting Palestinian leaders at their headquarters in the occupied West Bank, following talks in Israel.",World
Strong Earthquake Strikes Northern Japan,A magnitude-5.9 earthquake rocked northern Japan this morning near the area where the countrys deadliest earthquake in a decade struck last month.,World
"Confusion Over Arafat, Palestinians Prepare Burial"," PARIS (Reuters) - Palestinians looked to their leadership  to lift confusion over Yasser Arafat's fate in a Paris hospital  on Wednesday as preparations gathered pace to bury the icon of  their fight for statehood. Arafat, 75, suffered a brain  hemorrhage on Tuesday at the hospital where he was flown from  the West Bank on Oct. 29 and had lain in a coma. Officials  insisted in public that he was alive, though aides said  privately that he was dead.",World
PeopleSoft to Conway: You're fired,The abrupt ouster of CEO Craig Conway comes after 15 months of battle against a hostile takeover bid by Oracle.,Sci/Tech
South Carolina Senate Race Surprisingly Close (Reuters),Reuters - Democratic state education\superintendent Inez Tenenbaum is giving Republicans an\unexpectedly tough battle for a U.S. Senate seat in\conservative South Carolina.,World
No Holiday Cheer for Band Aid and iTunes,Apple #39;s iTunes Music Store is causing a bit of a stir by refusing to sell the charity Band Aid song  quot;Do They Know It #39;s Christmas?,Sci/Tech
Wireless network smashes world speed record,"A new world record has been set for transmitting data across a wireless network, claim researchers in Germany. A team at Siemens Communications research laboratory in Munich, have transmitted one gigabit (one ",Sci/Tech
Dutch court bars Kurd extradition,A Dutch court blocks the extradition to Turkey of a Kurdish woman said to be a top militant leader.,World
Troops Hunting Al Qaeda Members Withdrawn,"  PESHAWAR, Pakistan, Nov. 27 -- The Pakistani army announced Saturday that it would withdraw hundreds of troops from a tense tribal region near Afghanistan where Osama bin Laden and his top deputy were believed to be hiding.",World
Tributes to  #39;distinguished #39; businessman,Tributes were being paid today to the  quot;enormously distinguished quot; Lord Hanson after the millionaire businessman died of cancer at his home in Berkshire last night.,Business
Best Buy adds Verizon to wireless line-up,"Sprint Corp. and RadioShack Corp. reported a multi-year agreement to develop, deploy and operate Sprint-branded kiosks in approximately 500 shopping malls across the country following a 10-month test program involving 10 Sprint kiosks.",Business
Delta Dodges Bankruptcy Bullet,"A tentative \$1 billion agreement reached by Delta Air Lines and its pilots union late Wednesday seemed to come at a painful, but practical cost.",Business
Three Members of Bhutto's Party Killed (AP),"AP - Unidentified gunmen opened fire on supporters of former Prime Minister Benazir Bhutto's party ahead of a key by-election, killing three people, police said Tuesday.",World
